"","city","avg_price_per_m2"
"1","warszawa",15611.8282462721
"2","krakow",13583.177395213
"3","gdansk",13246.3936326785
"4","wroclaw",11670.2330580374
"5","gdynia",11178.6274256865
"6","poznan",9887.18942782634
"7","rzeszow",9389.21693269741
"8","lublin",8610.79567522851
"9","bialystok",8421.10161982963
"10","szczecin",8048.68333852014
"11","katowice",7790.25333868397
"12","lodz",7774.49946218231
"13","bydgoszcz",7514.94299599762
"14","radom",6381.06558385708
"15","czestochowa",6005.85599036427
